E:\Dataset\blur\archive\defocused_blurred\0_IPHONE-SE_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\153_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 0.992, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\154_IPHONE-7_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\155_HONOR-10_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\156_HUAWEI-P30-LITE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00128, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\157_NIKON-D3400-35MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\158_IPHONE-7_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\159_NIKON-D3400-35MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\15_HONOR-7C_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\160_HUAWEI-P20-LITE_F.jpg, Quality: 4, BlurExtent: 0.950, Per: 0.04442, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\161_XIAOMI-MI8-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\162_IPHONE-6S_F.jpg, Quality: 1, BlurExtent: 0.987, Per: 0.00543, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\163_SAMSUNG-GALAXY-GRAND-PRIME-PLUS_F.jpg, Quality: 0, BlurExtent: 0.994, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\164_XIAOMI-MI8-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\165_SAMSUNG-GALAXY-J3_F.jpg, Quality: 0, BlurExtent: 0.998, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\166_XIAOMI-MI8-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\167_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\168_CANON-6D-100MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\169_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\16_IPHONE-7_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\170_IPHONE-8_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\171_HUAWEI-P20-LITE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\172_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\173_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\174_HUAWEI-P20_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\175_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\176_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\177_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 0.998, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\178_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\179_CANON-6D-100MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\17_HUAWEI-MATE20_F.jpg, Quality: 0, BlurExtent: 0.996, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\180_HONOR-10_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\181_HONOR-10_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\182_HONOR-10_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\183_XIAOMI-REDMI-7_F.jpg, Quality: 0, BlurExtent: 0.999, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\184_HONOR-10_F.jpg, Quality: 1, BlurExtent: 0.989, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\185_HONOR-6X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\186_HONOR-8_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\187_XIAOMI-REDMI-4A_F.jpg, Quality: 2, BlurExtent: 0.971, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\188_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\189_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\18_XIAOMI-REDMI-5-PLUS_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\190_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\191_NIKON-D3400-18-55MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\192_XIAOMI-MI8-SE_F.jpg, Quality: 1, BlurExtent: 0.982, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\193_IPHONE-7_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\194_IPHONE-SE_F.jpg, Quality: 2, BlurExtent: 0.979, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\195_IPHONE-7_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\196_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\197_HUAWEI-P20-LITE_F.jpg, Quality: 0, BlurExtent: 0.992, Per: 0.00132, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\198_HUAWEI-P20-LITE_F.jpg, Quality: 2, BlurExtent: 0.975, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\199_CANON-6D-100MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\19_IPHONE-7-PLUS_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\1_XIAOMI-PROCOFONE-F1_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\200_HUAWEI-MATE20_F.jpg, Quality: 2, BlurExtent: 0.980, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\201_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\202_HUAWEI-P20-LITE_F.jpg, Quality: 0, BlurExtent: 0.996, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\203_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\204_XIAOMI-MI8-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\205_HUAWEI-P20-LITE_F.jpg, Quality: 5, BlurExtent: 0.948, Per: 0.04744, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\206_IPHONE-7_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\207_SAMSUNG-GALAXY-J7_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\208_SAMSUNG-GALAXY-A5_F.jpg, Quality: 0, BlurExtent: 0.994, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\209_SAMSUNG-GALAXY-A8_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\20_XIAOMI-REDMI-3S_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\210_CANON-6D-70-200MM_F.JPG, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\211_SAMSUNG-GALAXY-7-NEO_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\212_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\213_ONEPLUS-3T_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\214_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\215_LG-Q6_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\216_ASUS-ZENFONE-LIVE-ZB501KL_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\217_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\218_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\219_IPHONE-6S_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\21_HUAWEI-Y9_F.jpg, Quality: 0, BlurExtent: 0.994, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\220_IPHONE-6_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\221_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\222_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\223_HONOR-4C_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\224_ONEPLUS-3T_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00411, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\225_HONOR-7C_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\226_IPHONE-7-PLUS_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\227_SAMSUNG-GALAXY-A3_F.jpg, Quality: 1, BlurExtent: 0.982, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\228_ASUS-ZENFONE-LIVE-ZB501KL_F.jpg, Quality: 14, BlurExtent: 0.857, Per: 0.00181, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\229_WILEYFOX-SWIFT-2-PLUS_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\22_HUAWEI-Y9_F.jpg, Quality: 0, BlurExtent: 0.993, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\230_NOKIA-21_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\231_IPHONE-7-PLUS_F.jpg, Quality: 0, BlurExtent: 0.999, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\232_SAMSUNG-EDGE-7C_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\233_XIAOMI-REDMI-4_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\234_XIAOMI-REDMI-NOTE-5A-PRIME_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\235_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\236_IPHONE-SE_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\237_SAMSUNG-GALAXY-J5_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\238_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\239_IPHONE-6S_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\23_HUAWEI-P20_F.jpg, Quality: 0, BlurExtent: 0.998, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\240_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\241_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\242_IPHONE-6S_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\243_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\244_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 0.999, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\245_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\246_HONOR-9_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\247_HONOR-7X_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\248_IPHONE-7_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\249_IPHONE-SE_F.jpeg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
E:\Dataset\blur\archive\defocused_blurred\24_HUAWEI-Y9_F.jpg, Quality: 0, BlurExtent: 1.000, Per: 0.00000, is blur: True, Center-only processed
